record_id,tsv_index,shuffled_rank,question,msc_code,domain,raw_response,model,latency_sec,timestamp
6286,6286,44,How many models have a Drone→Satellite R@1 score above 90 but below the MEAN(Ours) score of 93.55?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,4.600438084,2025-11-19T11:01:53.021787+00:00
6110,6110,46,"If the Rise Time for Backstepping Control was doubled, how many more iterations would it take compared to Sliding Mode Control?",93,Systems theory; control,"MSC code: 93
Domain: Systems theory; control",gpt-5-mini,3.740558417,2025-11-19T11:01:53.689505+00:00
7307,7307,48,How many more votes did Qua²SeDiMo receive for PixArt-α compared to PixArt-Σ?,0,General and overarching topics; collections,"MSC code: 00
Domain: General and overarching topics; collections",gpt-5-mini,6.762698958,2025-11-19T11:01:57.334824+00:00
3964,3964,47,What is the average of the CUHK-PEDES mAP scores for the methods IRRA [12] and AGA(Ours)?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,7.234994667,2025-11-19T11:01:57.705563+00:00
4368,4368,49,In which network's equation does the term x_i(t) appear multiplied by itself?,37,Dynamical systems and ergodic theory,"MSC code: 37
Domain: Dynamical systems and ergodic theory",gpt-5-mini,7.044292417,2025-11-19T11:01:59.615764+00:00
1634,1634,51,What is the average of the CR values for both models?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,2.702780084,2025-11-19T11:13:14.429426+00:00
7581,7581,53,What is the difference between the highest and lowest X-Set (%) improvement when adding SF Head?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.129006166,2025-11-19T11:13:14.856500+00:00
4138,4138,55,"At 1s prediction duration, which model has the smallest FDE for the HighD dataset?",68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.337957292,2025-11-19T11:13:15.068751+00:00
94,94,50,"Which value is larger, the GAE Factor or the Actor learning rate multiplied by 1000?",68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.551588583,2025-11-19T11:13:15.175658+00:00
5189,5189,54,What is the sum of the percentages for q_proj and k_proj?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,4.750158459,2025-11-19T11:13:16.479699+00:00
3183,3183,59,Which parameter has a reference number different from [24]?,98,None of above,"MSC code: 98
Domain: None of above",gpt-5-mini,3.526584125,2025-11-19T11:13:18.702355+00:00
27,27,57,Which cell type in the second column has the same proportion as nTreg?,92,Biology and other natural sciences,"MSC code: 92
Domain: Biology and other natural sciences",gpt-5-mini,3.871429708,2025-11-19T11:13:18.728080+00:00
7893,7893,56,Which age group has the highest L_qt value?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,4.486116292,2025-11-19T11:13:18.915739+00:00
1525,1525,52,What is the criterion for removing clashing chains in both AF3 and NP3?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,7.419831292,2025-11-19T11:13:19.146929+00:00
34,34,60,What is the average P$_{ratio}$ for 1000 ppm SO$_{2}$ and 500 ppm HCN?,92,Biology and other natural sciences,"MSC code: 92
Domain: Biology and other natural sciences",gpt-5-mini,3.562914542,2025-11-19T11:13:20.042734+00:00
503,503,58,What is the average cost [CPU-h] of models with 'medium' mesh setup?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,5.508203542,2025-11-19T11:13:20.577196+00:00
6502,6502,61,What is the difference in IS between the highest and lowest scoring FlowAR methods?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,2.723706667,2025-11-19T11:13:21.426224+00:00
2180,2180,64,Which approach has a higher PPV at the Component-Level?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,2.843072916,2025-11-19T11:13:21.990152+00:00
1721,1721,65,How much greater is the Avg. Length of the Video Prediction Diffusion Model compared to the average Avg. Length of Stable-VAE and VC-1?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.094539541,2025-11-19T11:13:23.137400+00:00
1082,1082,66,What is the percentage increase in the 'Safe Episode' metric when Collision Penalty is applied?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.076936666,2025-11-19T11:13:23.654266+00:00
1228,1228,62,What is the difference in Time(s) between the fastest and slowest model?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,5.467562125,2025-11-19T11:13:24.195767+00:00
7259,7259,67,Which metric showed consistent decrease across all age groups when comparing the proposed model to the baseline?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.081179625,2025-11-19T11:13:24.507551+00:00
7387,7387,68,How many InternVL2 variants are included in the comparison?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.481879833,2025-11-19T11:13:25.472179+00:00
2290,2290,70,"If the sum of exhausted CD8+ T cell density at TS (T$_{ex}$) and naive CD4+ T cell density in TDLN (T 4 0) is 200, and T$_{ex}$ is 120, what is T 4 0?",92,Biology and other natural sciences,"MSC code: 92
Domain: Biology and other natural sciences",gpt-5-mini,3.457504667,2025-11-19T11:13:27.111920+00:00
1511,1511,71,Which method under the 'target' setting has the highest ice mass loss estimate?,86,Geophysics,"MSC code: 86
Domain: Geophysics",gpt-5-mini,3.792596875,2025-11-19T11:13:27.988449+00:00
7550,7550,72,Which PDF is being determined in Algorithm 1?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,4.413216208,2025-11-19T11:13:28.920950+00:00
3995,3995,73,What is the difference in PESQ between the codebook lengths of 128 and 64?,94,"Information and communication, circuits","MSC code: 94
Domain: Information and communication, circuits",gpt-5-mini,4.392768833,2025-11-19T11:13:29.865229+00:00
5302,5302,69,What is the difference between the number of dimensions in T and ΔP?,15,Linear and multilinear algebra; matrix theory,"MSC code: 15
Domain: Linear and multilinear algebra; matrix theory",gpt-5-mini,8.939143125,2025-11-19T11:13:32.076705+00:00
5241,5241,75,For how many metrics does dnaGrinder plus outperform DNABERT-2 plus?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,4.093308792,2025-11-19T11:13:32.081886+00:00
1620,1620,76,Which method has the highest mean COV-R (%)?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.310902042,2025-11-19T11:13:32.231987+00:00
4676,4676,74,How many different journals/platforms are listed for publication in the table?,5,Combinatorics,"MSC code: 05
Domain: Combinatorics",gpt-5-mini,6.0653465,2025-11-19T11:13:33.177414+00:00
4226,4226,63,"If you multiply the sample coefficient by the maximum number of conformations, what is the result?",0,General and overarching topics; collections,"MSC code: 00
Domain: General and overarching topics; collections",gpt-5-mini,14.28165629,2025-11-19T11:13:33.197609+00:00
6636,6636,77,For which model is the proposed time for Hyper hazard lower than for Hypo hazard?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,4.874640791,2025-11-19T11:13:34.740053+00:00
2316,2316,78,What is the average absolute accuracy for data points (n) of 150 and 125?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,2.928118959,2025-11-19T11:13:35.004953+00:00
3053,3053,80,Which case has the lowest R2 value?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.049534125,2025-11-19T11:13:35.281739+00:00
3439,3439,79,Which method shows the smallest improvement from Where2Act to Where2Explore in 'Push' values?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,4.137634792,2025-11-19T11:13:36.219853+00:00
6354,6354,82,What is the total number of layers across all datasets that have a stride of 2x2?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.262724459,2025-11-19T11:13:36.460444+00:00
2754,2754,83,What is the average score for GAMLP across all OGB datasets?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,2.999191459,2025-11-19T11:13:37.739352+00:00
6046,6046,84,What is the sum of the median F1-Scores for all three categories?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.014350875,2025-11-19T11:13:38.019449+00:00
4709,4709,81,What is the total number of votes for all methods under PixArt-Σ?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,5.010044709,2025-11-19T11:13:38.187526+00:00
1732,1732,86,"Find the ratio of 'p' value for 'Yu-pe.chisq' to 'Yu-pe.cauchy' methods at n$_{1}$,n$_{2}$ = 20,20 for p.2.",62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,4.187412791,2025-11-19T11:13:40.407448+00:00
6812,6812,88,"How much larger is the MAE value for (θd,1, θd,2) compared to (θd,2, θd,1) for the Proposed MPC method?",93,Systems theory; control,"MSC code: 93
Domain: Systems theory; control",gpt-5-mini,3.502949708,2025-11-19T11:13:41.242655+00:00
2989,2989,89,Which Visual Encoder is used by the model with the highest score on Stretch (Nav)?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.351932334,2025-11-19T11:13:41.371468+00:00
6932,6932,91,What percentage of papers are from PubMed and ScienceDirect combined?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,2.73241125,2025-11-19T11:13:43.139971+00:00
6624,6624,87,"If the LNP formulations from Data5, Data6, and Data7 were combined, what percentage of the total would they represent?",62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,6.691588041,2025-11-19T11:13:43.152179+00:00
4331,4331,92,Which section number corresponds to the performance evaluation of D yn W atch using AUC and F-measure?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.484650417,2025-11-19T11:13:44.727469+00:00
707,707,85,What is the dominant infeasible bus name for CASE9241pegase?,94,"Information and communication, circuits","MSC code: 94
Domain: Information and communication, circuits",gpt-5-mini,9.80341275,2025-11-19T11:13:45.088761+00:00
1063,1063,93,What is the difference in proportion between CD8_T and CD4_T in the first column?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.890076166,2025-11-19T11:13:45.261642+00:00
5247,5247,95,Which PDB ID has the largest difference between its CP (1-NN) and CP values?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.670196834,2025-11-19T11:13:46.822451+00:00
5483,5483,96,Which model has the lowest FID score for the 'Action' category?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.255751333,2025-11-19T11:13:47.983350+00:00
5309,5309,90,What is the difference between the maximum sequence lengths for the Cont and EC tasks in the Protein section?,92,Biology and other natural sciences,"MSC code: 92
Domain: Biology and other natural sciences",gpt-5-mini,10.0683335,2025-11-19T11:13:48.255943+00:00
6668,6668,97,Which device has the highest accuracy?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.627241666,2025-11-19T11:13:48.716057+00:00
5704,5704,98,How many decimal places is the Average error rounded to?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,4.841247375,2025-11-19T11:13:50.102978+00:00
5072,5072,99,Which method has the highest CLAP score when the Prompt column is checked?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.754117375,2025-11-19T11:13:50.576700+00:00
4597,4597,100,What is the minimum possible value for the object's mass?,49,Calculus of variations and optimal control; optimization,"MSC code: 49
Domain: Calculus of variations and optimal control; optimization",gpt-5-mini,4.0445505,2025-11-19T11:13:52.027977+00:00
5753,5753,102,Which method has the highest mIoU score?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.413388958,2025-11-19T11:13:52.129581+00:00
3988,3988,101,What is the difference between Atom Stability and Molecule Stability for GeoLDM*?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,4.495738,2025-11-19T11:13:52.751767+00:00
3351,3351,104,Which scenario has the smallest variability in response time?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,2.646137334,2025-11-19T11:13:53.222988+00:00
3299,3299,94,What is the product of the values in rows 2.2 and 3.1?,98,None of above,"MSC code: 98
Domain: None of above",gpt-5-mini,12.52540633,2025-11-19T11:13:55.665505+00:00
2083,2083,105,What is the sum of the STR2STR values for PWD 𝒥 (  ) and RG 𝒥 (  )?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,4.165584417,2025-11-19T11:13:56.193676+00:00
5101,5101,106,What is the difference between the highest and lowest recall (R) scores for CodeBERT across all mutation types?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,4.794456083,2025-11-19T11:13:56.924098+00:00
3581,3581,103,What is the Top-5 Action value for the row with the highest Top-1 Body value?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,6.966035042,2025-11-19T11:13:57.069179+00:00
752,752,108,Which Desert Ant Ability is associated with 'Compact Vector Graph' in the BIOMAP?,92,Biology and other natural sciences,"MSC code: 92
Domain: Biology and other natural sciences",gpt-5-mini,4.084218791,2025-11-19T11:13:57.307282+00:00
1468,1468,110,What is the average value of the PD method across all available columns?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.818277583,2025-11-19T11:14:00.012166+00:00
467,467,109,"If you add the rotation degrees of H2 and H4, what is the total?",51,Geometry,"MSC code: 51
Domain: Geometry",gpt-5-mini,5.189533042,2025-11-19T11:14:00.855566+00:00
265,265,111,What is the difference in SNR between WavMark and Ours-32bps?,94,"Information and communication, circuits","MSC code: 94
Domain: Information and communication, circuits",gpt-5-mini,4.223332417,2025-11-19T11:14:01.147528+00:00
5448,5448,113,"If the average data arrival rate increased in steps of 0.5 Mbps from 1.0 to 13.0 Mbps, how many different rates are there?",5,Combinatorics,"MSC code: 05
Domain: Combinatorics",gpt-5-mini,4.410466,2025-11-19T11:14:01.717856+00:00
2786,2786,114,Which data type has the smallest standard deviation in precision?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,2.700108875,2025-11-19T11:14:02.712429+00:00
3686,3686,115,What is the focus of the benchmark named LongICLBench [193]?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,2.648650875,2025-11-19T11:14:03.504373+00:00
2532,2532,116,What is the average MAE of all four variants?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.417111458,2025-11-19T11:14:04.564803+00:00
939,939,107,What is the difference in camera vertical FoV between Stretch RE-1 and LoCoBot?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,12.32010037,2025-11-19T11:14:05.072062+00:00
2192,2192,112,What is the ratio of the values in the 'ESA BChl' row under columns 8.60E-5 and 1.00E-6?,65,Numerical analysis,"MSC code: 65
Domain: Numerical analysis",gpt-5-mini,8.334066125,2025-11-19T11:14:05.403376+00:00
5555,5555,117,How many times larger is the batch size in the first column compared to the second?,97,Mathematics education,"MSC code: 97
Domain: Mathematics education",gpt-5-mini,5.535366375,2025-11-19T11:14:07.253370+00:00
6283,6283,118,How much larger is the Atom Sta. (%) for HierDiff in Geom-Drugs compared to EDM in CrossDocked2020?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,4.6710735,2025-11-19T11:14:07.383623+00:00
5262,5262,119,Which method shows the most consistent performance across both Trans. and Rot. Error metrics?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,4.169083084,2025-11-19T11:14:07.673565+00:00
1604,1604,120,How many more objects does ShapeNet have compared to ScanObjectNN?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.249250792,2025-11-19T11:14:07.814166+00:00
748,748,121,"If the pattern is '([agct]+)([agct]+)\1([agct]+)\1\2\1', what is the Zimin avoidmer?",5,Combinatorics,"MSC code: 05
Domain: Combinatorics",gpt-5-mini,4.328415333,2025-11-19T11:14:09.400671+00:00
4954,4954,122,How many times greater is the electron density range of [34] compared to [35]?,81,Quantum theory,"MSC code: 81
Domain: Quantum theory",gpt-5-mini,5.074460625,2025-11-19T11:14:10.478016+00:00
5106,5106,125,What is the total range (highest minus lowest value) for the 'Regulatory Annotation Avg.' across all datasets?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,2.821472625,2025-11-19T11:14:10.495255+00:00
6851,6851,123,How many works are listed under the 'Implicit' subclass of 'Map Modeling'?,98,None of above,"MSC code: 98
Domain: None of above",gpt-5-mini,5.098105458,2025-11-19T11:14:12.351621+00:00
3611,3611,127,What is the average mAP value for all settings?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,4.301988292,2025-11-19T11:14:13.702876+00:00
5275,5275,126,What is the difference between the highest and lowest values at 50Hz?,94,"Information and communication, circuits","MSC code: 94
Domain: Information and communication, circuits",gpt-5-mini,6.081141083,2025-11-19T11:14:13.895494+00:00
7284,7284,124,How many categories of moments are listed in the table?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,6.686516791,2025-11-19T11:14:14.070294+00:00
661,661,128,Which model has the highest average SR ↓ value across all levels?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,4.007132833,2025-11-19T11:14:14.485306+00:00
5839,5839,130,"If you divide the Train Epochs by the Batch Size for each configuration and subtract the results, what do you get?",68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.31275925,2025-11-19T11:14:15.664570+00:00
5561,5561,129,What is the sum of all Precision values?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,5.480025042,2025-11-19T11:14:15.975447+00:00
5125,5125,132,What is the ratio of the Train/Validation split for the second configuration?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.028195,2025-11-19T11:14:16.923804+00:00
4818,4818,131,What is the average duration (Stop - Start) for all entries with Residue 'CHL'?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.982049958,2025-11-19T11:14:17.685070+00:00
1902,1902,134,"If you subtract the Max Gradient Norm from the Discount Value Factor γ, what is the result?",68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.504549167,2025-11-19T11:14:17.990022+00:00
4980,4980,133,Which model consistently outperforms the other across all methods and metrics?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,5.499717666,2025-11-19T11:14:19.570855+00:00
289,289,135,Which model has the highest SR ↓ value for L3?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,4.764764333,2025-11-19T11:14:20.429442+00:00
2978,2978,137,Which optimization method considers the uncertainty set for the parameter ξ as a ball centered at a reference distribution?,90,"Operations research, mathematical programming","MSC code: 90
Domain: Operations research, mathematical programming",gpt-5-mini,3.527055875,2025-11-19T11:14:20.450966+00:00
2860,2860,139,Calculate the average MSE of 'M2oE without CRA' and 'M2oE without MoE'.,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.584928417,2025-11-19T11:14:21.575074+00:00
4048,4048,138,"In the TNT-Caterpillar scene, which method shows the smallest difference between AUSE$_{3D}$ and CD values?",68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,4.293185958,2025-11-19T11:14:21.978384+00:00
